ENCFF070ISC	ENCFF506XFA	ENCFF261BLR	ENCFF966QBV	HepG2	GNB2L1
ENCFF758WPH	ENCFF993VQJ	ENCFF360OFU	ENCFF269IZJ	K562	EFTUD2
ENCFF572VRD	ENCFF454QYL	ENCFF566XUG	ENCFF486GXG	HepG2	DKC1
ENCFF054JEN	ENCFF392VDF	ENCFF869IKC	ENCFF996UTY	HepG2	RPS3A
ENCFF735KTG	ENCFF654RKB	ENCFF345DRD	ENCFF171TGT	K562	PUM2
ENCFF514XUK	ENCFF997AWJ	ENCFF451VCI	ENCFF957JFM	K562	DDX6
ENCFF423PGY	ENCFF666GBG	ENCFF236XCF	ENCFF901WHO	HepG2	STAU1
ENCFF541SRH	ENCFF423KRK	ENCFF689TGX	ENCFF486RUF	K562	ILF2
ENCFF395NRA	ENCFF916KJU	ENCFF689TGX	ENCFF486RUF	K562	SMN1
ENCFF782EXB	ENCFF202XMY	ENCFF250NQT	ENCFF072REC	K562	TARDBP
ENCFF096IJH	ENCFF660WGY	ENCFF360OFU	ENCFF269IZJ	K562	PRPF8
ENCFF970NBJ	ENCFF837MHH	ENCFF951AKS	ENCFF058RBW	K562	EIF3G
ENCFF365JNK	ENCFF725RWM	ENCFF989TXQ	ENCFF558ZFO	HepG2	DDX6
ENCFF301YOD	ENCFF784ZDW	ENCFF261RLR	ENCFF834TYC	HepG2	SF3B4
ENCFF719AYW	ENCFF777NOA	ENCFF812XUV	ENCFF201SIR	K562	RBM25
ENCFF200LAP	ENCFF557BIM	ENCFF109UAW	ENCFF827AVO	K562	TRIP6
ENCFF131UOO	ENCFF028ZEH	ENCFF566IXO	ENCFF394YXV	HepG2	EIF4G2
ENCFF041MUH	ENCFF535THG	ENCFF742NXL	ENCFF340UAV	HepG2	SRFBP1
ENCFF536UGZ	ENCFF869LKX	ENCFF566IXO	ENCFF394YXV	HepG2	HNRNPL
ENCFF453XAT	ENCFF402FGF	ENCFF840VCF	ENCFF306VXJ	K562	DDX47
ENCFF373UAZ	ENCFF030CEO	ENCFF678FMA	ENCFF965KEL	K562	ADAR
ENCFF406QFV	ENCFF354ESP	ENCFF971OQY	ENCFF824KJT	K562	WRN
ENCFF191GKG	ENCFF609RPE	ENCFF221UUT	ENCFF713YLH	K562	UTP18
ENCFF137KFS	ENCFF187GDS	ENCFF572NPL	ENCFF689YCR	HepG2	SRP68
ENCFF103RBD	ENCFF816XCD	ENCFF345DRD	ENCFF171TGT	K562	MSI2
ENCFF116WUD	ENCFF410NIR	ENCFF261BLR	ENCFF966QBV	HepG2	NUSAP1
ENCFF805TZL	ENCFF887SBE	ENCFF360OFU	ENCFF269IZJ	K562	EEF2
ENCFF350IPK	ENCFF045OGG	ENCFF784SML	ENCFF487UNM	HepG2	HNRNPA1
ENCFF165QIV	ENCFF576IMD	ENCFF566XUG	ENCFF486GXG	HepG2	KIF1C
ENCFF388MKH	ENCFF204XOP	ENCFF662KLY	ENCFF356UJZ	K562	GTF2F1
ENCFF644UEH	ENCFF183RCM	ENCFF345DRD	ENCFF171TGT	K562	PNPT1
ENCFF255HKE	ENCFF512NNN	ENCFF721YDQ	ENCFF471LQQ	K562	SUGP2
ENCFF361TUZ	ENCFF800CFL	ENCFF689TGX	ENCFF486RUF	K562	PABPC1
ENCFF037MOS	ENCFF948YWB	ENCFF989TXQ	ENCFF558ZFO	HepG2	ASCC1
ENCFF123DLA	ENCFF425HKM	ENCFF250NQT	ENCFF072REC	K562	NELFE
ENCFF338NPO	ENCFF466BUC	ENCFF360OFU	ENCFF269IZJ	K562	DDX28
ENCFF017QVW	ENCFF539QKE	ENCFF678FMA	ENCFF965KEL	K562	DDX1
ENCFF239VRF	ENCFF464WLH	ENCFF566IXO	ENCFF394YXV	HepG2	PUM2
ENCFF306ATN	ENCFF775CLV	ENCFF360OFU	ENCFF269IZJ	K562	RRP9
ENCFF414WJD	ENCFF210PWB	ENCFF572NPL	ENCFF689YCR	HepG2	DDX27
